ticker,ret_12m,score_4,target_class,year
TOY,0.0380434782608694,-0.40373205331080764,1,2005
TXU,0.1611378248419686,-0.41116468989789534,2,2005
MYG1,0.5594385144026902,-0.42056992642931457,4,2005
LSI1,1.0679785330948124,-0.422715588935259,4,2005
ASN,0.1503365744203439,0.5400176638582455,2,2006
KIM,0.2412824427480917,-0.03731718430549258,3,2006
UIS,0.2235123367198837,-0.09026905254140649,3,2006
RDC,-0.2532173238651511,-0.13542988456152383,0,2006
CITGQ,0.0050534703292095,-0.16186364117896995,1,2006
GTW,-0.1324200913242009,-0.26161065869130845,0,2006
NVDA,0.004566210045662,-0.2891401527202047,1,2006
AIV,0.2905982905982907,-0.3027316755753138,4,2006
JPM,0.1973491011548076,-0.30604603774250616,3,2006
XTO,0.3721382079595867,-0.3329199435559969,4,2006
COR,0.0962137354532044,-0.35648622377669553,2,2006
MER,0.050977864333324,-0.3567859196351321,1,2006
GT,1.153959627329192,-0.3668882987067369,4,2006
ADM,0.1026281085154485,-0.3800701816481372,2,2006
EQR,0.0698398353165636,-0.40020322014192994,2,2006
MCK,0.1282706800346797,-0.4043910602092463,2,2006
C,0.1311622805619143,-0.40850615184549455,2,2006
EKDKQ,-0.1900464549539258,-0.4138686329453528,0,2006
Q1,0.3220338983050848,-0.41589748496514867,4,2006
VNO,0.2878237500369156,-0.43367476277694555,4,2006
CIEN,0.1030411449016099,1.4673460301616221,3,2007
ASN,0.1250232212520899,0.1421771303604673,4,2007
JPM,-0.0836537186795705,-0.12094321959959659,2,2007
MS,-0.2920281995661605,-0.15976020826275722,1,2007
GT,-0.1728003460332334,-0.17876721966030767,1,2007
IPG,-0.3168724279835391,-0.1863899773172462,0,2007
GS,-0.1941431810819566,-0.21125527473539346,1,2007
AVB,-0.2330745089950051,-0.2524614733531195,1,2007
AMD,-0.5490045941807045,-0.26936970609150834,0,2007
CITGQ,-0.7663099038200747,-0.2874963804028635,0,2007
NVDA,0.0318181818181817,-0.2916721144330005,3,2007
UIS,-0.4744958481613286,-0.2961896111435746,0,2007
CNP,-0.1715976331360946,-0.3052675951656788,1,2007
SANM,-0.1353591160220993,-0.33295157400332925,2,2007
MER,-0.4907804935339483,-0.33455449523733305,0,2007
AIV,-0.3067429259482239,-0.34001524009751194,0,2007
TSN,-0.1707607250332423,-0.36227687610501896,1,2007
DYNIQ,-0.1479481641468681,-0.364751190680061,1,2007
WINMQ,-0.1234981140559039,-0.3677871137372024,2,2007
MTLQQ,-0.3569620253164557,-0.38038238201558416,0,2007
C,-0.8765871557266578,1.6815630979793545,0,2008
CITGQ,-0.7455584322828319,0.5452130841031219,0,2008
KIM,-0.7938228916368751,0.3072204331112496,0,2008
BSC1,-0.1105815061963775,0.13656138575956367,4,2008
AVB,-0.4690693921463152,0.053616640355378165,1,2008
XTO,-0.4992699518831923,-0.06423167158324539,1,2008
AMD,-0.4821731748726655,-0.14441292611381262,1,2008
MU,-0.319910897875257,-0.14704450737322855,3,2008
JPM,-0.3565899884259258,-0.1563706910071872,2,2008
NVDA,-0.5022026431718062,-0.1746471413027052,1,2008
CHKAQ,-0.6256712494385891,-0.18381228095215724,1,2008
AAPL,-0.2675631810804544,-0.22252322637430827,3,2008
VNO,-0.5939833451126202,-0.23628909895527622,1,2008
RRC,-0.3489318932915403,-0.23852588128048674,2,2008
BIGGQ,-0.0681750697784903,-0.2477225979486033,4,2008
F,-0.5403199477636305,-0.260609456854937,1,2008
PLD,-0.726615003697868,-0.2817874253281118,0,2008
CFC,-0.2030751921995125,-0.2824031906170655,3,2008
THC,-0.7950530035335689,-0.29337798655232017,0,2008
KBH,-0.4485373226087402,-0.30935068961751555,2,2008
VRSN,0.3789079563182529,5.722844992270561,1,2009
AIV,2.484732824427481,2.1425047972406452,4,2009
NVDA,0.7654867256637168,0.5892839639984961,3,2009
GNW,8.65263157894737,0.449241884568893,4,2009
ETFC,0.3326722855726325,0.23904090049001103,1,2009
FITB,3.663435648896069,0.16540062891256924,4,2009
HBAN,2.2772772772772774,0.10251609264816974,4,2009
TGNA,6.633587786259541,0.07586526371980895,4,2009
XTO,0.558699758109944,0.04484868718749502,2,2009
ODP,5.091739130434783,0.008001495759644595,4,2009
PLD,1.0223476828981417,-0.007948571819379913,3,2009
CITGQ,-0.7157894736842105,-0.04300989525418042,0,2009
MU,1.5540438397581258,-0.059901147423202405,4,2009
FHN,0.3082961158478818,-0.08800034801129919,1,2009
MTW,0.8981830647925952,-0.08817802611033976,3,2009
IP,2.514054054054054,-0.08989498647666383,4,2009
LEN,1.323435358611238,-0.09889345638429803,4,2009
RRD,2.1266245822502783,-0.09943114960033517,4,2009
WELL,0.5853641886818215,-0.09998489358488738,2,2009
EKDKQ,0.523684210526316,-0.10220584702688285,2,2009
NVDA,0.0601503759398496,0.02315563988689273,1,2010
AIG,0.2265805052193952,-0.1533151287601417,2,2010
DNRCQ,0.4463562122062214,-0.28345961865290226,4,2010
EKDKQ,-0.0449050086355785,-0.30285602031463194,0,2010
ANDV,0.930243942237089,-0.3317803312014406,4,2010
SCHW,-0.0214536471200104,-0.3369614122061947,0,2010
WINMQ,0.2804587696167533,-0.3385660452390934,3,2010
TMUS,1.2937378954163976,-0.34539465384295825,4,2010
SUN1,0.5601138647019424,-0.4027731377462663,4,2010
OKE,0.5204023962925286,-0.40305422247549505,4,2010
TSN,0.0114195842450766,-0.406114633515243,1,2010
TEG,0.1282240235814296,-0.4061822271446942,2,2010
AIV,0.4096385542168672,-0.4105675757532418,4,2010
NI,0.2799781480469816,-0.41323379201745625,3,2010
GT,0.1851818909543714,-0.41610056450973365,2,2010
S2,0.2210526315789474,-0.4322431897247955,2,2010
SUNEQ,-0.1545988258317024,-0.43510179032466656,0,2010
JBL,0.2853692454073044,-0.4449598918386971,3,2010
MDP,0.0619253061402361,-0.4508758142973561,1,2010
COR,0.3834363730036063,-0.45935914023410185,4,2010
NVDA,-0.1654846335697399,0.07136892048148036,0,2011
WELL,0.1090030803696442,-0.07239590091653225,3,2011
VTR,0.0990895534102505,-0.24889846287236922,3,2011
CHKAQ,-0.3016783131740702,-0.33510320917758923,0,2011
EP1,0.6445903829029387,-0.3889396309656164,4,2011
AKS,-0.5182748061762982,-0.4026691169207613,0,2011
APA,-0.2284779838879581,-0.412701317499903,0,2011
DFODQ,0.2110436893203882,-0.4178225574282846,4,2011
MSI,0.1539204271149858,-0.4227618394720132,3,2011
SVU,-0.3303266365996993,-0.4285136013974433,0,2011
WINMQ,-0.0126159628918746,-0.429691097621413,1,2011
RRC,-0.0027622793377846,-0.431986653643464,1,2011
NFX,-0.5437442441783976,-0.43390288764040874,0,2011
VIAV,-0.3047571020339552,-0.4364340052857706,0,2011
SWN,-0.2878752618105654,-0.4404940232790068,0,2011
MWW,-0.5270440251572327,-0.4442652680169201,0,2011
EQT,-0.0183599538942862,-0.4495837963950065,1,2011
CTRA,0.1792676637441979,-0.45653559097521956,3,2011
MEE,-0.0345231129315389,-0.48383806763523635,1,2011
ANDV,0.0003804049199036,-0.4870214803008416,1,2011
WELL,0.2985922605896094,-0.1381970063348542,3,2012
NVDA,-0.1558073654390934,-0.14101563724813604,0,2012
FSLR,0.0762475049900199,-0.34090493616182826,1,2012
RDC,0.0737946149029429,-0.3548445778157814,1,2012
S2,1.1789473684210527,-0.3790426689667528,4,2012
SVU,0.0105102040816326,-0.38269000931466945,1,2012
ANRZQ,-0.5673898750821827,-0.4114421336508508,0,2012
DFODQ,0.4970437919631227,-0.4169262756047911,4,2012
NFX,-0.3535178777393309,-0.4344232397801855,0,2012
SHLDQ,-0.2134306569343066,-0.4364809573452405,0,2012
CVC,0.0628131021194604,-0.4534117627814495,1,2012
AAPL,-0.2507908318996614,-0.47556831091418383,0,2012
WPX,-0.1104941699056081,-0.48997769158375365,0,2012
MU,0.2321496271957537,-0.4900885729292613,3,2012
OI,0.1418204074495059,-0.49459911126883493,2,2012
NFLX,0.6453693562127296,-0.4999752471727473,4,2012
RRD,-0.2045968690616234,-0.5006274949047483,0,2012
THC,1.2401129943502824,-0.5184135449698174,4,2012
RF,0.2497777777777776,-0.5198485608680006,3,2012
TMUS,0.208445945945946,-0.5205484323716697,3,2012
CHKAQ,0.2745152120002418,-0.02317202936294782,3,2013
CPPRQ,-0.3375248180013236,-0.04699701518919552,0,2013
AMD,0.4862745098039217,-0.33776415866884213,4,2013
NVDA,0.4228187919463086,-0.3435579485933143,4,2013
FSLR,1.5886498516320475,-0.37779830337571413,4,2013
BBY,0.2181539282379618,-0.40783441844530965,2,2013
CLF,0.1042389323299428,-0.4092729094329537,1,2013
HRB,0.0552887125404615,-0.41554381807490615,1,2013
MU,1.372,-0.4168481034151351,4,2013
WPX,0.15980024968789,-0.4247312064364297,1,2013
S2,0.1368760064412237,-0.4316514734911702,1,2013
NFX,0.3987511150758249,-0.4382788350559853,3,2013
WELL,-0.0786787224733849,-0.4384061501430182,0,2013
CSC,0.2543767768966034,-0.4392521251941426,2,2013
MPC,-0.0082955778189011,-0.4517029114684958,0,2013
CLX,0.0257702366524208,-0.4529589603228501,0,2013
CPB,0.0109479812681938,-0.45644144509949525,0,2013
THC,-0.1002522068095838,-0.4567813429255284,0,2013
QEP,-0.0729692965410027,-0.4569199695152276,0,2013
CMS,0.0873699695282126,-0.46047675396934473,1,2013
NVDA,0.1886792452830188,-0.36062287535739473,3,2014
LMT,0.2825325201236344,-0.3956892933513656,3,2014
WINMQ,-0.0092793141971226,-0.40810137074750424,1,2014
NFX,0.1189413265306122,-0.4152996644912431,2,2014
GME,-0.0442715320633216,-0.44401226411975786,0,2014
GT,0.0461301237846403,-0.46874529586295915,1,2014
BTUUQ,-0.1781469324247303,-0.48065808123875453,0,2014
TSN,-0.1227248049832842,-0.48130975800975073,0,2014
CAH,0.3125934556753083,-0.4831464934964375,4,2014
SBUX,0.3098305084745762,-0.4842028328787174,4,2014
X,-0.0223680050584887,-0.48564081028541667,1,2014
CVC,0.1214414190907398,-0.4952372997346845,2,2014
AIZ,-0.0388680401317301,-0.49593995587098466,1,2014
ETFC,0.2404415364757199,-0.4965383440148298,3,2014
HAR,0.2701993241588718,-0.5010209129067356,3,2014
R,0.206855382911721,-0.5045367570791492,3,2014
LHX,0.1036976255192574,-0.505484732543398,2,2014
PBI,-0.0757160170951074,-0.5134779830458936,0,2014
SWY,-0.0293004888017453,-0.5140131464320493,1,2014
LLL1,0.087011737900251,-0.5145745971426764,2,2014
WYNN,-0.2405240350331865,0.7582708641310384,0,2015
MNKKQ,-0.5161468614291354,0.04974448443345447,0,2015
BBWI,-0.0223487439229532,-0.322589978122114,2,2015
WINMQ,0.0797394946380079,-0.39665587935001334,3,2015
GNW,-0.3543091655266758,-0.4169109437391634,0,2015
COR,-0.2288292150198516,-0.4209578934454111,0,2015
RIG,-0.3647484014456491,-0.44987273675098427,0,2015
NVDA,0.7321428571428572,-0.4665070571790501,4,2015
NEBLQ,-0.0441647597254003,-0.46928407386746895,2,2015
CVC,0.8251202920192469,-0.4916093093871861,4,2015
KR,0.0117731002497325,-0.49288430200707745,2,2015
QEP,-0.1113570409719147,-0.493977186884536,1,2015
NFX,-0.0524365916215446,-0.4972340829993287,1,2015
THC,-0.4156736012926681,-0.5100277563015985,0,2015
DOFSQ,-0.1771432899121479,-0.518654285990064,1,2015
DRI,0.1056200286869213,-0.5196993240064686,3,2015
DNB3,-0.182737298083759,-0.521434026539948,1,2015
FCX,-0.4490948250771289,-0.5272602821162498,0,2015
ANDV,-0.0379449454200285,-0.5288339146565633,2,2015
HCA,0.0374911107950504,-0.5345437279826154,3,2015
CHKAQ,0.441747572815534,-0.045499132849765256,4,2016
FCX,0.2921597633136092,-0.2757567022232305,3,2016
MRO,0.4378290805994329,-0.3204389054759355,4,2016
RRC,-0.0992639874943007,-0.35379429393810113,0,2016
SWN,0.0123915737298636,-0.3705833133727131,1,2016
THC,0.1016246111303146,-0.3747736363459169,1,2016
NRG,0.4501039501039501,-0.3764158208827819,4,2016
NVDA,2.077892325315005,-0.3898930184950277,4,2016
DOFSQ,-0.1895996318453751,-0.3914331273524323,0,2016
RIG,0.3621444201312909,-0.39803592926537495,4,2016
OKE,0.9605106888361046,-0.3992036779034807,4,2016
MUR,0.1788166067342269,-0.4046362878158905,2,2016
WMB,0.9393970679330994,-0.41027578253630437,4,2016
OI,0.1359887475225369,-0.4283766953871509,2,2016
CVC,0.0566666666666665,-0.4461901630209823,1,2016
TDC,0.1859756097560976,-0.44675169822851557,3,2016
CTRA,0.0565431951959094,-0.44836218578108933,1,2016
MNKKQ,-0.2726827676240209,-0.45013437897778075,0,2016
NAVI,0.2865246438926006,-0.45201266064250695,3,2016
R,0.1929074808407471,-0.4699035611782413,3,2016
DHI,0.3308134757600658,0.0177266044656893,4,2017
CHKAQ,-0.4932659932659932,-0.338920873841259,0,2017
NVDA,1.1324897655377746,-0.368410087428753,4,2017
GEN,-0.1484359821255101,-0.4470167330211644,0,2017
STX,0.3524170262969976,-0.460324365607309,4,2017
AAPL,0.1864121954147162,-0.4610552463577928,3,2017
OKE,0.081538694532788,-0.4740985930475501,2,2017
XRX,0.0066315074930811,-0.4833005077274731,1,2017
CF,0.3333052489678996,-0.4853528644536462,4,2017
WRK,0.2687673994432178,-0.48721541788838674,3,2017
AMD,-0.3092783505154639,-0.4901334899017015,0,2017
SPLS,0.1849710982658959,-0.492920869940319,3,2017
HPQ,0.2591739818678946,-0.49994395093070687,3,2017
CSRA,0.4296612226498837,-0.5016717643446831,4,2017
MUR,-0.0973377703826954,-0.5020265475932384,0,2017
NRG,0.6589768654284782,-0.5113512871052214,4,2017
SIG,-0.4186940041350793,-0.5148173231724009,0,2017
SWN,0.05140758873929,-0.5175593092919057,2,2017
M,0.0672350319705483,-0.5193636048650303,2,2017
MU,0.8041061946902655,-0.5209667978048734,4,2017
NVDA,-0.2221640488656195,-0.24744063282465262,0,2018
AAPL,0.1494334277620397,-0.3871063163163787,3,2018
NRG,0.3962367914522526,-0.43754945529225375,4,2018
AMZN,0.2303536142164246,-0.440195946710103,3,2018
EVHC,0.1967213114754099,-0.45642897912729935,3,2018
RL,0.1837846746531246,-0.45875879807825437,3,2018
FL,0.3681336417926508,-0.4675073223463171,4,2018
BA,0.1862928983813494,-0.47270790572860444,3,2018
MAT,-0.0114068441064638,-0.4919780243634917,1,2018
M,-0.1518246187363834,-0.5054739684475907,0,2018
IT,0.2895766026186022,-0.5078804340676888,4,2018
SRCL,-0.1881086622245002,-0.5157299915101076,0,2018
BBWI,-0.2259232728430436,-0.518401404189991,0,2018
NAVI,0.1403803719659557,-0.5193902408573012,3,2018
AZO,0.5787510212890592,-0.5194141123927412,4,2018
FLS,0.0602406409947209,-0.5195379542426191,2,2018
TDG,0.4790855033832275,-0.5242176039473394,4,2018
CPRI,-0.2630476804123711,-0.5242889380416269,0,2018
HP,-0.1268319466148583,-0.533162427985902,1,2018
CMG,1.1983905911482515,-0.5350413165976046,4,2018
IT,-0.3435522151898734,0.30243399838574603,1,2019
NVDA,0.4731882432129235,-0.30963622915353645,4,2019
AAPL,0.3563506733562185,-0.3444813294609843,4,2019
AMZN,0.0948931343149477,-0.44977891310797913,4,2019
COTY,-0.5314628166712068,-0.45366295983353844,0,2019
BA,-0.5996542541768672,-0.46119668840006334,0,2019
MAT,-0.1638461538461539,-0.4686496152316848,2,2019
FLR,-0.227871992788326,-0.473928875403813,1,2019
BBWI,-0.5556012544342193,-0.48195326952574447,0,2019
MSFT,0.3549730215827338,-0.49140905288855363,4,2019
NRG,-0.351536124240378,-0.4973049651990624,1,2019
PRGO,0.0164728919348917,-0.5005771345245543,3,2019
SEE,-0.4542202455767186,-0.506540562298476,0,2019
BHF,0.0214935243868834,-0.5108537911155393,3,2019
HBI,-0.5421575115817339,-0.5132716316927846,0,2019
AES,-0.2239769294149959,-0.5146949250523951,1,2019
WDC,-0.109963936714751,-0.5188872267884279,2,2019
M,-0.7712848504307808,-0.52179836867919,0,2019
NLSN,-0.449437186383979,-0.5223161378220618,0,2019
MHK,-0.3956401109789933,-0.5231248344520545,0,2019
AAPL,0.9362893020539278,0.030183263166451257,3,2020
AMZN,0.586935559977843,-0.09825401355011376,2,2020
MSFT,0.5101511219661119,-0.13653342176405825,2,2020
BFH,0.4165737939818502,-0.24341523666439585,1,2020
M,0.1467009826860083,-0.2546055199362034,0,2020
NBL,0.4062500000000001,-0.26101871494018863,1,2020
KSS,0.4735845654525782,-0.2843845187129533,1,2020
BBWI,4.3509949097639975,-0.29165656447291605,4,2020
DVN,2.3473744950952105,-0.29835888761462387,4,2020
APA,3.3199999999999994,-0.30323295771722847,4,2020
NVDA,1.0283277490100518,-0.3131631411785443,3,2020
HAL,2.1673501577287064,-0.32592568310135284,4,2020
GAP,3.2305364049100387,-0.3274221421471693,4,2020
BA,0.7079254391846588,-0.3362342978230937,2,2020
CPRI,0.241890639481001,-0.33641383651264084,0,2020
JWN,0.1219061691909863,-0.3447441190942609,0,2020
DXC,1.3954022988505748,-0.3481829624946774,4,2020
NCLH,1.517335766423357,-0.3590946994193907,4,2020
GOOGL,0.77503545608634,-0.3640317651504511,3,2020
FTI,0.5295663600525624,-0.3684230301069763,2,2020
AAPL,0.4379676411197413,0.0396913764513972,4,2021
PENN,-0.5953834414345669,-0.06183400785068438,0,2021
AMZN,0.0536120591581341,-0.2325126696811931,2,2021
TSLA,0.613345130994462,-0.24577263290272566,4,2021
CZR,-0.1153802172670097,-0.2461247668050065,0,2021
MSFT,0.3183322419453369,-0.3055365937542442,4,2021
NVDA,1.04557741402613,-0.37079086434571007,4,2021
GAP,-0.3925036766167176,-0.4289600981168134,0,2021
DRI,-0.0369565922131811,-0.4303113815124826,1,2021
NWSA,-0.1208607243477196,-0.4501408156888802,0,2021
NWS,-0.0310828138126187,-0.45827781177528193,1,2021
WHR,-0.1943646696215629,-0.47782795303459746,0,2021
WU,-0.2442201932831438,-0.47788073508343787,0,2021
PWR,0.4996046615559149,-0.4820274675841939,4,2021
LVS,-0.3602712582419459,-0.48238612137139514,0,2021
HBI,-0.1252970762173215,-0.4842913915356903,0,2021
GOOGL,0.3485174755673346,-0.486907977071259,4,2021
KMX,-0.2727272727272727,-0.4911116267014997,0,2021
F,0.3946280991735538,-0.49787316853092306,4,2021
CARR,0.0978143584853581,-0.49922654206224637,2,2021
AAPL,-0.049895117119217,0.6950711167276205,2,2022
MSFT,-0.0556051898177163,0.38047548827738265,2,2022
GOOGL,-0.2541023288077053,0.1162018535231627,0,2022
AMZN,-0.3663112430827371,0.06073370220639451,0,2022
PRU,-0.2659877600979192,-0.12564751739022317,0,2022
NVDA,0.0189406453033806,-0.18401549142263696,3,2022
TSLA,-0.4224387527839643,-0.29504609384591135,0,2022
COR,0.0477167469742636,-0.3076309095682595,3,2022
AAL,-0.1917808219178082,-0.43811254629263346,1,2022
PENN,-0.2595473833097595,-0.4907246551634187,0,2022
UAL,-0.0455133735979292,-0.5063879005981955,2,2022
BBWI,-0.2194137969463947,-0.5212006562522473,1,2022
WYNN,0.4034456620887237,-0.5284738128552938,4,2022
PVH,-0.3340070875442971,-0.5295192644132203,0,2022
DAY,0.0710942071386775,-0.5369802170265612,3,2022
CAH,0.3718616679880697,-0.5379404373403981,4,2022
LUMN,-0.7691665894131825,-0.5396679645081867,0,2022
OGN,-0.2997895022747335,-0.5411683787131182,0,2022
WBD,-0.3940609951845907,-0.543088961445311,0,2022
META,-0.0468584802508516,-0.5436888409380364,2,2022
AAPL,0.045425832684276,-0.03864343333692555,1,2023
NVR,0.4536403101832493,-0.0465644260439253,4,2023
NVDA,2.2539716848589646,-0.2201310026693193,4,2023
MSFT,0.4712416870225775,-0.29506753205916453,4,2023
LNC,0.2019701892825829,-0.2975348988299295,2,2023
AMZN,0.746345241552909,-0.37920158410973087,4,2023
GNRC,0.1678548282566427,-0.4078841733573267,2,2023
CAH,0.5127764093955114,-0.4099507126076986,4,2023
MTCH,-0.0549638846417461,-0.4231516741854199,0,2023
AAL,0.0406779661016949,-0.4461087420219251,1,2023
DISH,-0.2893890675241157,-0.45001878919548033,0,2023
TSLA,-0.1526559336739613,-0.45288447728173653,0,2023
PODD,-0.4626285427639829,-0.4575422819680153,0,2023
BBWI,0.3977327888980897,-0.458187847931285,3,2023
FRCB,-0.9761258041458184,-0.4709881456135728,0,2023
CZR,-0.1038721573448063,-0.4923964455742327,0,2023
ALGN,-0.0186149518166037,-0.4924827971527677,1,2023
WHR,-0.1559379136084707,-0.4956637809429766,0,2023
MCK,0.5159411656241581,-0.4982515782920123,4,2023
BKNG,0.3712088238769109,-0.5021466271051251,3,2023
NVDA,0.1998627210025794,0.1485919606214673,3,2024
AAPL,0.3014830110756523,0.14106506850652867,4,2024
MSFT,-0.100978667965479,-0.03421780698577481,1,2024
AMZN,0.0547732564585874,-0.18475154213057393,2,2024
AZO,0.2097726587660431,-0.3164854601316552,3,2024
NVR,-0.1056264475380125,-0.32349647448878793,1,2024
GOOGL,0.0295400225028792,-0.3870052179039688,2,2024
PARA,0.0353185595567868,-0.3957237648053321,2,2024
NRG,0.4388627456914162,-0.444511786526953,4,2024
AAL,-0.2846905537459283,-0.4473149669710629,0,2024
CAH,0.2485582783023159,-0.4532390132112397,3,2024
WRK,0.0478244065176264,-0.4636899208305414,2,2024
MCK,0.2593564274914295,-0.46571482435938516,4,2024
META,0.1912227001130542,-0.46951229912111525,3,2024
COR,0.1547604684542258,-0.4696833356921342,3,2024
WBD,0.2290950744558992,-0.4742620458574869,3,2024
STX,-0.0602356325017976,-0.4805472970307808,1,2024
MTD,-0.1129581083009712,-0.4900833001100915,1,2024
TSLA,0.4742590591046136,-0.49694629447274996,4,2024
ENPH,-0.4871053066622582,-0.5120178204837408,0,2024
