ticker,ret_12m,proba_class_4,target_class,year
GME,0.5116609207057392,0.20568214356899261,4,2013
TGNA,0.2978474496958352,0.20557251572608948,3,2013
AMD,0.4862745098039217,0.20535974204540253,4,2013
VIAV,-0.0601572739187417,0.20532074570655823,0,2013
HST,0.1889355617123962,0.2053031176328659,2,2013
TMUS,0.1293681856304165,0.2051633596420288,1,2013
CMG,0.7432867883995704,0.20513954758644104,4,2013
MU,1.372,0.20506253838539124,4,2013
LUV,0.7685006299874002,0.20503351092338562,4,2013
BBY,0.2181539282379618,0.20492829382419586,2,2013
LSI1,0.6327433628318584,0.20484429597854614,4,2013
FAST,-0.0198412698412698,0.2048395276069641,0,2013
NDAQ,0.1609623856319892,0.20483636856079102,1,2013
APH,0.2382558419657914,0.2048160433769226,2,2013
NVDA,0.4228187919463086,0.20477938652038574,4,2013
SPLS,-0.1258896797153025,0.2047029435634613,0,2013
GEN,-0.1695175438596491,0.2045942097902298,0,2013
LRCX,0.326386933258237,0.20458953082561493,3,2013
AES,0.150339245327937,0.20452000200748444,1,2013
LSI1,0.006323396567299,0.20550288259983063,1,2014
GME,-0.0442715320633216,0.2054978311061859,0,2014
LRCX,0.2893842887473461,0.20542308688163757,3,2014
NVDA,0.1886792452830188,0.20536623895168304,3,2014
TSCO,0.2153833443489756,0.20515844225883484,3,2014
IPG,0.3162826685006878,0.20503617823123932,4,2014
CMG,0.1452336942170582,0.2048412263393402,2,2014
TGNA,0.3766901027582476,0.2047339826822281,4,2014
NDAQ,0.3982292274761627,0.20463129878044128,4,2014
FAST,-0.1401685085895612,0.20462289452552795,0,2014
GEN,0.1996303142329021,0.20451712608337402,3,2014
APH,0.2974708171206226,0.20444142818450928,3,2014
AES,-0.0832988410596026,0.20439445972442627,0,2014
HBAN,0.1324766712559277,0.20437748730182648,2,2014
BSX,0.3128698224852071,0.20420272648334503,4,2014
KEY,0.0136609128454938,0.20411580801010132,1,2014
RF,-0.1325566343042071,0.20398366451263428,0,2014
GNW,-0.5877044557247604,0.2039301097393036,0,2014
MNST,0.9927429805615552,0.20386013388633728,4,2014
SPLS,0.4860050890585243,0.20376382768154144,4,2014
GME,-0.1306850084222347,0.2060544341802597,1,2015
FAST,0.2171035886994146,0.20482760667800903,4,2015
SPLS,-0.2940410958904109,0.20474959909915924,0,2015
GNW,-0.3543091655266758,0.20448428392410278,0,2015
NVDA,0.7321428571428572,0.20443083345890045,4,2015
LRCX,0.1947966408694219,0.2044183313846588,4,2015
AES,-0.0480866915001693,0.20424266159534454,2,2015
CMG,-0.2760740911536391,0.20381693542003632,0,2015
GEN,0.0046224961479197,0.20381148159503937,2,2015
HBAN,-0.1153586383898418,0.20371069014072418,1,2015
KEY,-0.2020476389469284,0.20338687300682068,0,2015
RF,-0.1474406804954483,0.20331434905529022,1,2015
HCBK,-0.0306513409961686,0.20328713953495026,2,2015
TSCO,0.0730745700496227,0.20316359400749207,3,2015
AVGO,0.2318589482266613,0.20314547419548035,4,2015
WU,-0.0421094057457693,0.20262941718101501,2,2015
NI,0.4221607999349646,0.20260152220726013,4,2015
