None,ticker,datekey,date,revenue,eps,ebitda,netinc,roe,evebitda,fcfps,pb,pe,marketcap,ebit,currentratio,capex,ncfo,equity,de,year
170,XTO,2007-03-01,2006-12-31,4576000000.0,4.08,4016000000.0,1860000000.0,0.356,5.606,-0.388,3.251,10.251,19067529771.0,3141000000.0,1.278,-3036000000.0,2859000000.0,5865000000.0,1.197,2006
171,XTO,2006-03-02,2005-12-31,3519000000.0,2.568,2618000000.0,1152000000.0,0.335,6.976,-1.817,3.601,13.155,15155060694.0,1963000000.0,1.067,-2908000000.0,2094000000.0,4209000000.0,1.342,2005
172,XTO,2005-03-07,2004-12-31,1947601000.0,1.224,1326030000.0,507882000.0,0.232,10.091,-3.127,4.366,22.343,11347636723.0,919281000.0,0.872,-2518261000.0,1216892000.0,2599373000.0,1.351,2004
173,XTO,2004-03-15,2003-12-31,1189555000.0,0.768,794063000.0,288279000.0,0.228,8.767,-0.911,3.901,19.831,5716774385.0,510057000.0,0.815,-1135234000.0,794181000.0,1465642000.0,1.464,2003
174,XTO,2003-03-31,2002-12-31,810163000.0,0.538,544413000.0,186059000.0,0.215,7.664,-0.708,3.381,16.495,3068961374.0,340304000.0,0.856,-736817000.0,490842000.0,907786000.0,1.917,2002
175,XTO,2002-04-01,2001-12-31,838748000.0,0.731,620691000.0,248816000.0,0.361,5.287,-0.225,2.963,9.777,2432645609.0,466369000.0,1.186,-619051000.0,542615000.0,821050000.0,1.597,2001
176,XTO,2001-04-02,2000-12-31,600851000.0,0.389,385094000.0,116993000.0,0.332,6.903,0.821,3.814,16.461,1896863301.0,255287000.0,0.884,-133944000.0,377421000.0,497367000.0,2.201,2000
177,XTO,2000-03-30,1999-12-31,341295000.0,0.154,247286000.0,46743000.0,0.242,6.408,-0.436,3.371,13.33,599355639.0,134922000.0,1.529,-260930000.0,133301000.0,177805000.0,6.745,1999
178,XTO,1999-04-16,1998-12-31,249486000.0,-0.264,30103000.0,-69719000.0,-0.332,43.361,-1.281,2.207,-5.478,391672276.0,-53457000.0,1.381,-301413000.0,-45842000.0,177451000.0,5.805,1998
179,XTO,1999-04-09,1998-12-31,249486000.0,-0.264,30103000.0,-69719000.0,-0.332,41.148,-1.281,1.832,-4.546,325060964.0,-53457000.0,1.381,-301413000.0,-45842000.0,177451000.0,5.805,1998
