None,ticker,datekey,date,revenue,eps,ebitda,netinc,roe,evebitda,fcfps,pb,pe,marketcap,ebit,currentratio,capex,ncfo,equity,de,year
13344,FFIV,2014-11-26,2014-12-31,1732046000.0,4.13,543463000.0,311183000.0,0.221,17.008,6.98,6.956,30.608,9524686455.0,497342000.0,1.568,-22718000.0,548992000.0,1369310000.0,0.596,2014
13345,FFIV,2013-11-22,2013-12-31,1481314000.0,3.53,478097000.0,277314000.0,0.19,13.067,6.022,4.183,23.211,6436860519.0,438092000.0,1.481,-26583000.0,499693000.0,1538712000.0,0.45,2013
13346,FFIV,2012-11-21,2012-12-31,1377247000.0,3.48,467353000.0,275186000.0,0.22,14.78,5.883,5.355,25.868,7118485278.0,432214000.0,1.665,-29867000.0,495437000.0,1329400000.0,0.438,2012
13347,FFIV,2011-11-22,2011-12-31,1151834000.0,2.99,381638000.0,241397000.0,0.217,20.913,4.792,7.416,33.961,8197992549.0,360751000.0,2.051,-30445000.0,416938000.0,1105436000.0,0.419,2011
13348,FFIV,2010-11-23,2010-12-31,881972000.0,1.9,261460000.0,151153000.0,0.164,39.287,3.781,10.403,69.076,10440980493.0,237627000.0,2.111,-12625000.0,313612000.0,1003698000.0,0.357,2010
13349,FFIV,2009-11-20,2009-12-31,653079000.0,1.16,158055000.0,91535000.0,0.12,22.809,2.414,4.654,40.625,3718639059.0,131648000.0,2.099,-11669000.0,201981000.0,799020000.0,0.337,2009
13350,FFIV,2008-11-21,2008-12-31,650173000.0,0.9,141887000.0,74331000.0,0.099,11.959,2.014,2.475,23.918,1777829158.0,118264000.0,1.731,-27923000.0,193692000.0,718259000.0,0.308,2008
13351,FFIV,2007-11-19,2007-12-31,525667000.0,0.93,143555000.0,77000000.0,0.107,16.645,1.841,3.176,31.788,2447667375.0,127693000.0,2.52,-16454000.0,169650000.0,770577000.0,0.225,2007
13352,FFIV,2006-12-14,2006-12-31,394049000.0,0.82,119154000.0,66005000.0,0.118,26.188,1.295,5.129,47.907,3162098278.0,107569000.0,4.647,-21400000.0,125378000.0,616458000.0,0.183,2006
13353,FFIV,2005-12-15,2005-12-31,281410000.0,0.695,86764000.0,51733000.0,0.125,23.247,1.017,4.465,40.066,2072750764.0,79967000.0,4.649,-9293000.0,84987000.0,464210000.0,0.158,2005
13354,FFIV,2005-12-13,2005-12-31,281410000.0,0.695,86764000.0,51733000.0,0.125,23.115,1.017,4.44,39.845,2061318704.0,79967000.0,4.649,-9293000.0,84987000.0,464210000.0,0.158,2005
13355,FFIV,2004-12-07,2004-12-31,171190000.0,0.495,34414000.0,32953000.0,0.125,46.094,0.524,5.257,49.082,1617411171.0,29059000.0,3.463,-5775000.0,40590000.0,307645000.0,0.179,2004
13356,FFIV,2003-10-30,2003-12-31,115895000.0,0.075,10102000.0,4087000.0,0.04,67.119,0.228,6.288,169.901,694383606.0,4940000.0,1.937,-2570000.0,14610000.0,110429000.0,0.342,2003
13357,FFIV,2002-12-19,2002-12-31,108266000.0,-0.17,-2509000.0,-8610000.0,-0.091,-98.037,0.125,2.912,-31.681,272776427.0,-8121000.0,3.381,-3169000.0,9505000.0,93685000.0,0.348,2002
13358,FFIV,2001-12-28,2001-12-31,107367000.0,-0.68,-21347000.0,-30790000.0,-0.346,-21.937,-0.436,5.639,-17.671,544077037.0,-26695000.0,3.773,-8084000.0,-11659000.0,96488000.0,0.292,2001
13359,FFIV,2000-12-13,2000-12-31,108645000.0,0.325,18090000.0,13650000.0,0.172,27.084,-0.083,6.263,40.23,549143831.0,15755000.0,2.897,-13334000.0,9826000.0,87685000.0,0.396,2000
13360,FFIV,1999-12-28,1999-12-31,27825000.0,-0.21,-4305000.0,-4344000.0,,-540.473,-0.226,73.642,-542.023,2354546158.0,-4878000.0,3.657,-2631000.0,-1989000.0,31973000.0,0.34,1999
13361,FE,2025-02-27,2024-12-31,13472000000.0,1.7,5299000000.0,978000000.0,0.079,8.699,-1.981,1.784,22.726,22225918760.0,3711000000.0,0.556,-4030000000.0,2891000000.0,12455000000.0,3.077,2024
13362,FE,2024-02-13,2023-12-31,12870000000.0,1.92,4937000000.0,1102000000.0,0.106,9.309,-3.436,2.034,19.261,21225589408.0,3657000000.0,0.477,-3356000000.0,1387000000.0,10437000000.0,3.627,2023
13363,FE,2023-02-13,2022-12-31,12459000000.0,0.71,4891000000.0,406000000.0,0.04,9.111,-0.128,2.274,56.929,23112982982.0,3574000000.0,0.61,-2756000000.0,2683000000.0,10166000000.0,3.489,2022
13364,FE,2022-02-16,2021-12-31,11132000000.0,2.35,5418000000.0,1283000000.0,0.166,8.448,0.672,2.701,18.262,23429747500.0,3817000000.0,0.733,-2445000000.0,2811000000.0,8675000000.0,4.237,2021
13365,FE,2021-02-18,2020-12-31,10790000000.0,1.99,4515000000.0,1079000000.0,0.152,9.143,-2.277,2.571,17.243,18605116832.0,3316000000.0,0.742,-2657000000.0,1423000000.0,7237000000.0,5.144,2020
13366,FE,2020-02-10,2019-12-31,11035000000.0,1.7,4383000000.0,912000000.0,0.128,10.972,-0.37,3.982,30.585,27771066366.0,3166000000.0,0.503,-2665000000.0,2467000000.0,6975000000.0,5.065,2019
13367,FE,2019-02-19,2018-12-31,11261000000.0,1.99,5331000000.0,1348000000.0,0.136,7.516,-2.571,3.081,21.401,20994026130.0,3947000000.0,0.516,-2675000000.0,1410000000.0,6814000000.0,4.88,2018
13368,FE,2018-02-20,2017-12-31,14017000000.0,-3.88,3092000000.0,-1724000000.0,-0.303,12.13,2.75,3.974,-9.048,15599346391.0,1392000000.0,0.762,-2587000000.0,3808000000.0,3925000000.0,9.766,2017
13369,FE,2017-02-21,2016-12-31,14562000000.0,-14.49,-5036000000.0,-6177000000.0,-0.594,-7.191,1.258,2.221,-2.244,13862824242.0,-7033000000.0,0.414,-2835000000.0,3371000000.0,6241000000.0,5.914,2016
13370,FE,2016-02-16,2015-12-31,15026000000.0,1.37,4839000000.0,578000000.0,0.046,7.462,1.761,1.141,24.525,14175350582.0,3003000000.0,0.543,-2704000000.0,3447000000.0,12421000000.0,3.201,2015
13371,FE,2015-02-17,2014-12-31,15049000000.0,0.71,3524000000.0,299000000.0,0.024,10.57,-1.426,1.252,52.021,15554255802.0,2292000000.0,0.697,-3312000000.0,2713000000.0,12420000000.0,3.2,2014
13372,FE,2014-02-27,2013-12-31,14917000000.0,0.94,4322000000.0,392000000.0,0.031,7.711,0.057,1.016,32.89,12892822508.0,2581000000.0,0.509,-2638000000.0,2662000000.0,12692000000.0,2.973,2013
13373,FE,2013-02-25,2012-12-31,15303000000.0,1.85,4740000000.0,770000000.0,0.058,7.494,-0.856,1.264,21.487,16544642248.0,3309000000.0,0.495,-2678000000.0,2320000000.0,13084000000.0,2.852,2012
13374,FE,2012-02-28,2011-12-31,16258000000.0,2.22,4895000000.0,885000000.0,0.068,7.244,1.967,1.38,20.703,18322062105.0,3445000000.0,0.691,-2278000000.0,3063000000.0,13280000000.0,2.562,2011
13375,FE,2011-02-16,2010-12-31,13339000000.0,2.58,4355000000.0,784000000.0,0.091,5.846,3.661,1.371,14.938,11711776337.0,2887000000.0,0.787,-1963000000.0,3076000000.0,8545000000.0,3.077,2010
13376,FE,2010-02-19,2009-12-31,12967000000.0,3.31,4873000000.0,1006000000.0,0.117,5.367,0.862,1.414,12.03,12101965658.0,2982000000.0,0.628,-2203000000.0,2465000000.0,8559000000.0,3.008,2009
13377,FE,2009-02-25,2008-12-31,13627000000.0,4.41,5381000000.0,1342000000.0,0.15,5.089,-2.201,1.685,10.399,13955364932.0,3651000000.0,0.43,-2888000000.0,2219000000.0,8283000000.0,3.047,2008
13378,FE,2008-02-29,2007-12-31,12802000000.0,4.27,5378000000.0,1309000000.0,0.151,5.999,0.199,2.295,15.74,20603825159.0,3721000000.0,0.433,-1633000000.0,1694000000.0,8977000000.0,2.572,2007
13379,FE,2007-02-28,2006-12-31,11501000000.0,3.84,4947000000.0,1254000000.0,0.135,6.346,1.926,2.211,15.927,19972689199.0,3490000000.0,0.396,-1315000000.0,1939000000.0,9035000000.0,2.453,2006
13380,FE,2006-03-02,2005-12-31,11989000000.0,2.62,4859000000.0,861000000.0,0.098,5.693,3.085,1.828,19.507,16795263174.0,2989000000.0,0.425,-1208000000.0,2220000000.0,9188000000.0,2.465,2005
13381,FE,2005-03-10,2004-12-31,12453046000.0,2.68,4649606000.0,878175000.0,0.103,5.302,3.148,1.581,15.467,13582657846.0,2893631000.0,0.608,-846221000.0,1876850000.0,8589294000.0,2.617,2004
13382,FE,2004-03-15,2003-12-31,12307047000.0,1.39,3560531000.0,422764000.0,0.055,6.858,3.87,1.506,29.53,12484303047.0,2278841000.0,0.502,-777573000.0,1952462000.0,8289341000.0,2.97,2003
13383,FE,2003-05-09,2002-12-31,12247401000.0,2.15,3914171000.0,629280000.0,0.084,5.963,3.13,1.386,15.684,9869618912.0,2808267000.0,0.643,-997723000.0,1915287000.0,7120049000.0,3.36,2002
13384,FE,2003-03-26,2002-12-31,12151997000.0,2.15,3881295000.0,629280000.0,0.084,5.844,3.13,1.294,14.639,9211842742.0,2775391000.0,0.643,-997723000.0,1915287000.0,7120049000.0,3.36,2002
13385,FE,2002-04-01,2001-12-31,7999362000.0,2.82,3021513000.0,646447000.0,0.12,7.916,1.87,1.382,15.815,10223806081.0,2131963000.0,0.778,-852449000.0,1281684000.0,7398599000.0,3.721,2001
13386,FE,2001-04-16,2000-12-31,7028961000.0,2.69,2986272000.0,598970000.0,0.129,4.495,4.137,1.37,10.642,6374515767.0,2052588000.0,0.556,-587618000.0,1507826000.0,4653126000.0,2.856,2000
13387,FE,2001-03-28,2000-12-31,7028961000.0,2.69,2986272000.0,598970000.0,0.129,4.4,4.137,1.309,10.168,6090059160.0,2052588000.0,0.556,-587618000.0,1507826000.0,4653126000.0,2.856,2000
13388,FE,2000-03-29,1999-12-31,6319647000.0,2.5,3017447000.0,568299000.0,0.126,3.925,3.8,1.019,8.187,4652442399.0,2079471000.0,0.548,-624901000.0,1488306000.0,4563890000.0,2.993,1999
13389,FE,1999-03-29,1998-12-31,5861285000.0,1.82,2625410000.0,410874000.0,0.094,5.451,2.22,1.525,16.514,6785249751.0,1884457000.0,0.489,-652852000.0,1155325000.0,4449158000.0,3.133,1998
13390,FDX,2024-07-15,2024-12-31,87693000000.0,17.41,10868000000.0,4331000000.0,0.162,9.729,12.837,2.702,17.206,74517071075.0,6581000000.0,1.363,-5176000000.0,8312000000.0,27582000000.0,2.154,2024
13391,FDX,2023-07-17,2023-12-31,90155000000.0,15.6,10233000000.0,3972000000.0,0.159,9.329,10.645,2.453,16.109,63984926155.0,6057000000.0,1.37,-6174000000.0,8848000000.0,26088000000.0,2.34,2023
13392,FDX,2022-07-18,2022-12-31,93512000000.0,14.54,9555000000.0,3826000000.0,0.155,9.099,11.811,2.271,14.804,56641156967.0,5585000000.0,1.427,-6763000000.0,9832000000.0,24939000000.0,2.448,2022
13393,FDX,2021-07-19,2021-12-31,83959000000.0,19.79,11260000000.0,5231000000.0,0.241,9.609,15.901,3.261,15.068,78819605758.0,7467000000.0,1.507,-5884000000.0,10135000000.0,24168000000.0,2.425,2021
13394,FDX,2020-07-20,2020-12-31,69217000000.0,4.92,5956000000.0,1286000000.0,0.07,12.464,-2.943,2.35,33.433,42994591428.0,2341000000.0,1.584,-5868000000.0,5097000000.0,18295000000.0,3.02,2020
13395,FDX,2019-07-16,2019-12-31,69693000000.0,2.06,4596000000.0,540000000.0,0.028,13.071,0.472,2.494,82.005,44282659934.0,1243000000.0,1.452,-5490000000.0,5613000000.0,17757000000.0,2.064,2019
13396,FDX,2018-07-16,2018-12-31,65450000000.0,17.08,8006000000.0,4572000000.0,0.254,9.378,-3.719,3.153,13.388,61210579671.0,4911000000.0,1.386,-5663000000.0,4674000000.0,19416000000.0,1.695,2018
13397,FDX,2017-07-17,2017-12-31,60319000000.0,11.24,8086000000.0,2997000000.0,0.2,8.57,-0.693,3.596,19.287,57804111878.0,5091000000.0,1.595,-5116000000.0,4930000000.0,16073000000.0,2.021,2017
13398,FDX,2016-07-18,2016-12-31,50365000000.0,6.59,5707000000.0,1820000000.0,0.125,9.36,3.352,3.097,23.454,42685690165.0,3076000000.0,1.497,-4818000000.0,5708000000.0,13784000000.0,2.342,2016
13399,FDX,2015-07-14,2015-12-31,47453000000.0,3.7,4473000000.0,1050000000.0,0.068,11.755,3.608,3.226,46.06,48363348818.0,1862000000.0,1.837,-4347000000.0,5366000000.0,14993000000.0,1.472,2015
13400,FDX,2014-07-14,2014-12-31,45567000000.0,6.82,6036000000.0,2097000000.0,0.128,7.572,2.561,2.822,20.562,43118874364.0,3449000000.0,1.823,-3533000000.0,4264000000.0,15277000000.0,1.165,2014
13401,FDX,2013-07-15,2013-12-31,44287000000.0,4.95,4923000000.0,1561000000.0,0.097,6.435,4.147,1.887,21.031,32829809020.0,2537000000.0,1.961,-3375000000.0,4688000000.0,17398000000.0,0.929,2013
13402,FDX,2012-07-16,2012-12-31,42680000000.0,6.44,5306000000.0,2032000000.0,0.129,5.411,2.615,1.976,14.322,29101849388.0,3193000000.0,1.685,-4007000000.0,4835000000.0,14727000000.0,1.03,2012
13403,FDX,2011-07-12,2011-12-31,39304000000.0,4.61,4324000000.0,1452000000.0,0.099,6.929,1.915,1.96,20.541,29825907404.0,2351000000.0,1.697,-3434000000.0,4041000000.0,15220000000.0,0.799,2011
13404,FDX,2010-07-15,2010-12-31,34734000000.0,3.78,3931000000.0,1184000000.0,0.084,6.378,1.024,1.759,20.514,24288789688.0,1973000000.0,1.568,-2816000000.0,3138000000.0,13811000000.0,0.803,2010
13405,FDX,2009-07-15,2009-12-31,35497000000.0,0.31,2737000000.0,98000000.0,0.007,6.945,0.941,1.315,182.811,17915490630.0,762000000.0,1.573,-2459000000.0,2753000000.0,13626000000.0,0.779,2009
13406,FDX,2008-07-16,2008-12-31,37953000000.0,3.64,4060000000.0,1125000000.0,0.081,6.18,1.726,1.649,21.288,23948999851.0,2114000000.0,1.349,-2947000000.0,3484000000.0,14526000000.0,0.765,2008
13407,FDX,2007-07-13,2007-12-31,35214000000.0,6.57,5093000000.0,2016000000.0,0.16,7.448,2.206,2.861,17.958,36203165719.0,3351000000.0,1.221,-2882000000.0,3563000000.0,12656000000.0,0.896,2007
13408,FDX,2006-08-02,2006-12-31,32294000000.0,5.94,4589000000.0,1806000000.0,0.169,7.152,3.779,2.75,17.53,31658327281.0,3041000000.0,1.181,-2518000000.0,3676000000.0,11511000000.0,0.971,2006
13409,FDX,2006-07-14,2006-12-31,32294000000.0,5.94,4589000000.0,1806000000.0,0.169,7.532,3.779,2.902,18.495,33401802718.0,3041000000.0,1.181,-2518000000.0,3676000000.0,11511000000.0,0.971,2006
13410,FDX,2005-07-14,2005-12-31,29363000000.0,4.81,3935000000.0,1449000000.0,0.161,6.996,2.911,2.632,17.418,25239350757.0,2473000000.0,1.113,-2236000000.0,3117000000.0,9588000000.0,1.128,2005
13411,FDX,2004-07-21,2004-12-31,24710000000.0,2.8,2830000000.0,838000000.0,0.11,9.723,5.83,3.045,29.201,24470759368.0,1455000000.0,1.05,-1271000000.0,3020000000.0,8036000000.0,1.381,2004
13412,FDX,2004-07-16,2004-12-31,24710000000.0,2.8,2830000000.0,838000000.0,0.11,9.641,5.83,3.016,28.926,24239761640.0,1455000000.0,1.05,-1271000000.0,3020000000.0,8036000000.0,1.381,2004
13413,FDX,2003-07-17,2003-12-31,22487000000.0,2.79,2807000000.0,830000000.0,0.119,7.512,1.206,2.626,23.06,19140031660.0,1456000000.0,1.182,-1511000000.0,1871000000.0,7288000000.0,1.111,2003
13414,FDX,2002-07-19,2002-12-31,20607000000.0,2.38,2648000000.0,710000000.0,0.113,6.088,2.06,2.238,20.628,14646180283.0,1284000000.0,1.246,-1615000000.0,2228000000.0,6545000000.0,1.11,2002
13415,FDX,2001-07-24,2001-12-31,19629040000.0,2.02,2347300000.0,584371000.0,0.107,5.938,1.428,2.023,20.431,11938998287.0,1071526000.0,1.061,-1618940000.0,2043806000.0,5900420000.0,1.261,2001
13416,FDX,2000-08-02,2000-12-31,18256945000.0,2.36,2398663000.0,688336000.0,0.146,5.511,0.659,2.404,16.712,11503721110.0,1243800000.0,1.136,-1437644000.0,1625242000.0,4785243000.0,1.409,2000
13417,FDX,1999-08-16,1999-12-31,16773470000.0,2.13,2194373000.0,631333000.0,0.145,6.289,1.16,2.734,20.196,12750479654.0,1159255000.0,1.128,-1426041000.0,1772120000.0,4663692000.0,1.283,1999
13418,FDX,1998-08-14,1998-12-31,15872810000.0,1.715,1992537000.0,503030000.0,0.143,4.728,1.327,2.022,15.92,8007996574.0,1028806000.0,1.027,-1315001000.0,1706373000.0,3961230000.0,1.445,1998
13419,FDS,2024-10-29,2024-12-31,2203056000.0,14.11,872875000.0,537126000.0,0.294,21.343,16.15,9.139,32.54,17478287696.0,717281000.0,1.253,-85681000.0,700338000.0,1912460000.0,1.12,2024
13420,FDS,2023-10-27,2023-12-31,2085508000.0,12.26,788001000.0,468173000.0,0.294,22.063,15.311,9.859,34.114,15971106672.0,650273000.0,1.59,-60786000.0,645573000.0,1619930000.0,1.446,2023
13421,FDS,2022-10-21,2022-12-31,1843892000.0,10.48,602831000.0,396917000.0,0.323,28.563,12.865,11.643,39.055,15501757601.0,473116000.0,1.986,-51156000.0,538277000.0,1331408000.0,2.015,2022
13422,FDS,2021-10-22,2021-12-31,1591445000.0,10.56,581333000.0,399590000.0,0.402,28.222,13.047,15.961,40.597,16221983173.0,474011000.0,2.957,-61325000.0,555226000.0,1016353000.0,1.189,2021
13423,FDS,2020-10-29,2020-12-31,1494111000.0,9.83,537762000.0,372938000.0,0.482,22.458,11.287,13.15,31.606,11786984493.0,436963000.0,3.047,-77642000.0,505840000.0,896375000.0,1.324,2020
13424,FDS,2019-10-30,2019-12-31,1435351000.0,9.25,498498000.0,352790000.0,0.572,19.74,9.642,14.319,27.285,9625813779.0,438035000.0,2.667,-59370000.0,427136000.0,672256000.0,1.321,2019
13425,FDS,2018-10-30,2018-12-31,1350145000.0,6.9,423489000.0,267085000.0,0.466,20.492,9.092,15.805,31.121,8311909703.0,366204000.0,1.949,-33520000.0,385668000.0,525900000.0,1.699,2018
13426,FDS,2017-10-30,2017-12-31,1221179000.0,6.55,399206000.0,258259000.0,0.497,19.382,7.192,13.145,28.488,7357325418.0,350912000.0,2.035,-36862000.0,320527000.0,559691000.0,1.525,2017
13427,FDS,2016-10-31,2016-12-31,1127092000.0,8.29,500181000.0,338815000.0,0.627,12.496,6.932,11.942,18.236,6178793175.0,462129000.0,2.334,-47740000.0,331140000.0,517381000.0,0.97,2016
13428,FDS,2015-11-02,2015-12-31,1006768000.0,5.8,365103000.0,241051000.0,0.46,19.55,6.754,13.661,30.126,7261852010.0,333754000.0,2.176,-25682000.0,306442000.0,531584000.0,0.386,2015
13429,FDS,2014-10-30,2014-12-31,920335000.0,4.98,337899000.0,211543000.0,0.405,15.758,5.827,10.646,25.72,5440943334.0,303464000.0,1.962,-17743000.0,265023000.0,511082000.0,0.298,2014
13430,FDS,2013-10-30,2013-12-31,858112000.0,4.53,306689000.0,198637000.0,0.349,14.534,5.725,8.59,23.43,4654072439.0,270910000.0,2.689,-18517000.0,269809000.0,541779000.0,0.274,2013
13431,FDS,2012-10-30,2012-12-31,805793000.0,4.22,308484000.0,188809000.0,0.344,12.422,4.677,7.281,21.297,4020987840.0,274705000.0,2.643,-22520000.0,231965000.0,552264000.0,0.257,2012
13432,FDS,2011-10-31,2011-12-31,726510000.0,3.72,275805000.0,171046000.0,0.315,15.622,3.869,8.716,26.252,4490292966.0,238958000.0,2.496,-29343000.0,207136000.0,515188000.0,0.276,2011
13433,FDS,2010-10-29,2010-12-31,641059000.0,3.22,259524000.0,150211000.0,0.298,14.928,4.075,8.101,27.094,4069808483.0,222181000.0,2.426,-20768000.0,211080000.0,502406000.0,0.283,2010
13434,FDS,2009-10-30,2009-12-31,622023000.0,3.07,246459000.0,144950000.0,0.31,11.416,3.896,6.05,20.902,3029802882.0,212122000.0,3.013,-24040000.0,207770000.0,500829000.0,0.264,2009
13435,FDS,2008-10-30,2008-12-31,575519000.0,2.6,219701000.0,125017000.0,0.283,7.641,2.233,3.86,14.372,1796686902.0,189047000.0,2.532,-35780000.0,143124000.0,465471000.0,0.262,2008
13436,FDS,2007-10-30,2007-12-31,475801000.0,2.24,191436000.0,109567000.0,0.272,16.583,2.387,8.168,30.514,3343367362.0,162876000.0,2.784,-39251000.0,155908000.0,409311000.0,0.28,2007
13437,FDS,2006-11-13,2006-12-31,387350000.0,1.7,150288000.0,82916000.0,0.257,16.118,1.995,7.101,30.718,2547017655.0,126032000.0,2.61,-23689000.0,120822000.0,358688000.0,0.275,2006
13438,FDS,2005-11-14,2005-12-31,312644000.0,1.5,128481000.0,71765000.0,0.301,13.359,1.512,6.623,24.744,1775774812.0,110163000.0,2.185,-21935000.0,94346000.0,268108000.0,0.296,2005
13439,FDS,2004-11-10,2004-12-31,251910000.0,1.2,104033000.0,58017000.0,0.325,15.617,0.922,10.351,29.358,1703254555.0,89375000.0,2.678,-31746000.0,76370000.0,164546000.0,0.397,2004
13440,FDS,2003-11-25,2003-12-31,222295000.0,1.02,96557000.0,51438000.0,0.263,14.04,1.313,6.629,27.349,1406764112.0,79016000.0,4.896,-8457000.0,74711000.0,212229000.0,0.207,2003
13441,FDS,2002-11-26,2002-12-31,205853000.0,0.807,82513000.0,40848000.0,0.252,11.544,1.123,5.636,24.416,997326292.0,64237000.0,4.313,-10021000.0,66695000.0,176966000.0,0.229,2002
13442,FDS,2001-11-20,2001-12-31,176688000.0,0.673,70770000.0,33401000.0,0.267,13.554,0.392,7.217,29.873,997803919.0,54246000.0,3.57,-30143000.0,49607000.0,138262000.0,0.248,2001
13443,FDS,2000-11-22,2000-12-31,134178000.0,0.527,51441000.0,25279000.0,0.27,22.952,0.399,11.847,48.273,1220297927.0,39576000.0,3.126,-11303000.0,30562000.0,103002000.0,0.316,2000
13444,FDS,1999-11-23,1999-12-31,103831000.0,0.403,40409000.0,18565000.0,0.274,24.459,0.196,13.145,54.953,1020209980.0,30617000.0,3.263,-16495000.0,25567000.0,77614000.0,0.308,1999
13445,FDS,1998-11-25,1998-12-31,78911000.0,0.296,29238000.0,12851000.0,0.28,13.21,0.213,8.307,32.983,423868731.0,22681000.0,2.846,-12015000.0,21256000.0,51025000.0,0.383,1998
13446,FDO,2014-10-29,2014-12-31,10489330000.0,2.49,718253000.0,284503000.0,0.176,12.797,0.297,5.321,31.151,8862536289.0,452792000.0,1.862,-435306000.0,469162000.0,1665725000.0,1.316,2014
13447,FDO,2013-10-28,2013-12-31,10391457000.0,3.85,956070000.0,443575000.0,0.301,8.693,-2.336,4.985,17.97,7970845770.0,716585000.0,1.719,-741214000.0,471973000.0,1599055000.0,1.32,2013
13448,FDO,2012-10-19,2012-12-31,9331005000.0,3.61,899776000.0,422240000.0,0.339,8.715,-1.981,5.79,17.793,7512735105.0,689028000.0,1.659,-601358000.0,369371000.0,1297627000.0,1.599,2012
13449,FDO,2011-10-25,2011-12-31,8547835000.0,3.15,822059000.0,388445000.0,0.331,9.032,1.49,6.455,18.066,7017522849.0,639604000.0,1.508,-344213000.0,528064000.0,1087074000.0,1.756,2011
13450,FDO,2010-10-26,2010-12-31,7866971000.0,2.64,749232000.0,358135000.0,0.249,7.614,2.803,4.106,16.299,5837315689.0,577195000.0,1.574,-211106000.0,591539000.0,1421554000.0,1.098,2010
13451,FDO,2009-10-27,2009-12-31,7400606000.0,2.08,623672000.0,291266000.0,0.211,6.196,2.685,2.814,13.915,4052895234.0,463864000.0,1.509,-154298000.0,529858000.0,1440060000.0,0.974,2009
13452,FDO,2008-10-28,2008-12-31,6983628000.0,1.66,525946000.0,233073000.0,0.196,7.36,2.487,3.014,16.216,3779426541.0,376348000.0,1.257,-167101000.0,515738000.0,1254083000.0,1.122,2008
13453,FDO,2007-10-30,2007-12-31,6834305000.0,1.63,543383000.0,242854000.0,0.193,6.975,1.91,3.088,14.935,3627020296.0,399323000.0,1.36,-130845000.0,415777000.0,1174641000.0,1.234,2007
13454,FDO,2005-11-07,2005-12-31,5824808000.0,1.3,457528000.0,217509000.0,0.153,7.782,0.433,2.567,16.854,3665790430.0,342795000.0,1.514,-227065000.0,299352000.0,1428066000.0,0.687,2005
13455,FDO,2004-11-05,2004-12-31,5281888000.0,1.54,512098000.0,262685000.0,0.191,9.755,0.933,3.782,19.586,5145038339.0,414215000.0,1.717,-216585000.0,375864000.0,1360400000.0,0.593,2004
13456,FDO,2003-11-26,2003-12-31,4750171000.0,1.44,478040000.0,247475000.0,0.2,13.508,0.443,5.083,26.928,6664083632.0,389725000.0,1.943,-218726000.0,294998000.0,1310969000.0,0.515,2003
13457,FDO,2002-11-20,2002-12-31,4162652000.0,1.26,418636000.0,216929000.0,0.2,12.128,1.265,4.587,24.421,5297690737.0,341621000.0,1.989,-184040000.0,402603000.0,1154948000.0,0.519,2002
13458,FDO,2001-11-21,2001-12-31,3665362000.0,1.1,366107000.0,189505000.0,0.21,14.269,0.033,5.47,27.682,5245872250.0,298422000.0,2.068,-160170000.0,165910000.0,959015000.0,0.46,2001
13459,FDO,2000-11-22,2000-12-31,3132639132.0,1.0,325420859.0,172017247.0,0.227,10.226,0.071,4.225,19.599,3371345369.0,270911447.0,1.822,-171370815.0,183556106.0,797964479.0,0.559,2000
13460,FDO,1999-11-24,1999-12-31,2751181355.0,0.81,266467734.0,140079267.0,0.216,11.081,-0.071,4.413,21.759,3047950332.0,222679267.0,1.902,-123111769.0,110883325.0,690651058.0,0.586,1999
13461,FDO,1998-11-25,1998-12-31,2361930395.0,0.6,200830755.0,103287925.0,0.188,15.894,0.676,5.753,32.204,3326238411.0,165987925.0,1.884,-95330230.0,211537275.0,578150707.0,0.63,1998
13462,FDC1,2007-02-23,2006-12-31,7076400000.0,1.98,2665900000.0,1513400000.0,0.158,7.733,2.552,1.899,12.722,19253994138.0,1965100000.0,,-170400000.0,2119200000.0,10141200000.0,2.398,2006
13463,FDC1,2006-02-24,2005-12-31,10490400000.0,2.05,3134300000.0,1585800000.0,0.193,12.375,2.573,4.093,21.826,34611886159.0,2357000000.0,,-224700000.0,2218700000.0,8457000000.0,3.05,2005
13464,FDC1,2005-03-01,2004-12-31,10013200000.0,2.27,3424900000.0,1875200000.0,0.19,10.702,2.612,3.707,17.567,32941594246.0,2686700000.0,,-177400000.0,2337900000.0,8886100000.0,2.682,2004
13465,FDC1,2004-02-25,2003-12-31,8400200000.0,1.91,2549000000.0,1408700000.0,0.337,12.559,2.482,7.234,20.783,29277532293.0,1979700000.0,,-161600000.0,1996000000.0,4047300000.0,5.322,2003
13466,FDC1,2003-03-18,2002-12-31,7636200000.0,1.63,2325700000.0,1237900000.0,0.317,12.215,2.245,6.278,21.079,26093974127.0,1787200000.0,,-211900000.0,1912800000.0,4156300000.0,5.398,2002
13467,FDC1,2002-03-22,2001-12-31,6450800000.0,1.12,1966700000.0,871900000.0,0.242,17.172,1.568,8.974,36.228,31587177267.0,1328300000.0,,-187100000.0,1407700000.0,3519900000.0,5.225,2001
13468,FDC1,2001-03-22,2000-12-31,5705200000.0,1.14,1996300000.0,929600000.0,0.251,11.585,1.269,5.942,23.828,22150319459.0,1407500000.0,,-148800000.0,1181200000.0,3727700000.0,3.64,2000
13469,FDC1,2000-03-24,1999-12-31,5539800000.0,1.405,2547000000.0,1199700000.0,0.324,7.724,1.257,4.898,15.953,19138775204.0,1929200000.0,,-243800000.0,1319400000.0,3907700000.0,3.352,1999
