date,action,ticker,name,contraticker,contraname,note
2013-06-30,removed,APOL,APOLLO EDUCATION GROUP INC,NWSA,NEWS CORP,
2013-06-14,removed,FHN,FIRST HORIZON CORP,ZTS,ZOETIS INC,
2013-06-07,removed,HNZ,HEINZ H J CO,GM,GENERAL MOTORS CO,
2013-05-24,removed,DFODQ,DEAN FOODS CO,KSU,KANSAS CITY SOUTHERN,
2013-05-07,removed,CVH,COVENTRY HEALTH CARE INC,MAC,MACERICH CO,
2013-05-01,removed,TMUS,T-MOBILE US INC,REGN,REGENERON PHARMACEUTICALS INC,
2013-02-14,removed,BIGGQ,BIG LOTS INC,PVH,PVH CORP,
2013-01-02,removed,FHI,FEDERATED HERMES INC,ABBV,ABBVIE INC,
2012-12-24,removed,TIE,TITANIUM METALS CORP,APTV,APTIV PLC,
2012-12-12,removed,RRD,RR DONNELLEY & SONS CO,GRMN,GARMIN LTD,
2012-11-30,removed,CBE,COOPER INDUSTRIES PLC,DG,DOLLAR GENERAL CORP,
2012-10-05,removed,SUN1,SUNOCO INC,PETM,PETSMART INC,
2012-10-01,removed,ANRZQ,ALPHA NATURAL RESOURCES INC,KRFT,KRAFT FOODS GROUP INC,
2012-09-30,removed,LXK,LEXMARK INTERNATIONAL INC,ADT1,ADT CORP,
2012-09-30,removed,ATGE,ADTALEM GLOBAL EDUCATION INC,PNR,PENTAIR PLC,
2012-09-05,removed,SHLDQ,SEARS HOLDINGS CORP,LYB,LYONDELLBASELL INDUSTRIES NV,
2012-07-27,removed,GR,GOODRICH CORP,VALPQ,VALARIS PLC,
2012-07-03,removed,PGN1,PROGRESS ENERGY INC,STX,SEAGATE TECHNOLOGY HOLDINGS PLC,
2012-06-29,removed,HSH,HILLSHIRE BRANDS CO,MNST,MONSTER BEVERAGE CORP,
2012-06-05,removed,NVLS1,NOVELLUS SYSTEMS INC,LRCX,LAM RESEARCH CORP,
2012-05-25,removed,EP1,EL PASO CORP,KMI,KINDER MORGAN INC,
2012-05-22,removed,MMI1,MOTOROLA MOBILITY HOLDINGS INC,ALXN,ALEXION PHARMACEUTICALS INC,
2012-05-01,removed,SVU,SUPERVALU INC,PSX,PHILLIPS 66,
2012-03-30,removed,MHS,MEDCO HEALTH SOLUTIONS INC,FOSL,FOSSIL GROUP INC,
2012-03-13,removed,CEG1,CONSTELLATION ENERGY GROUP INC,CCI,CROWN CASTLE INC,
2012-01-02,removed,CPWR,COMPUWARE CORP,WPX,WPX ENERGY INC,
2011-12-21,removed,TLAB,TELLABS INC,TRIP,TRIPADVISOR INC,
2011-12-19,removed,SUNEQ,SUNEDISON INC,DLTR,DOLLAR TREE INC,
2011-12-19,removed,MWW,MONSTER WORLDWIDE INC,PRGO,PERRIGO CO PLC,
2011-12-19,removed,AKS,AK STEEL HOLDING CORP,BWA,BORGWARNER INC,
2011-12-09,removed,GAS1,NICOR INC,GAS,AGL RESOURCES INC,
2011-11-23,removed,JNS,JANUS CAPITAL GROUP INC,CBE,COOPER INDUSTRIES PLC,
2011-11-01,removed,ITT,ITT INC,XYL,XYLEM INC,
2011-10-14,removed,CEPH,CEPHALON INC,TEL,TE CONNECTIVITY PLC,
2011-09-23,removed,NSM1,NATIONAL SEMICONDUCTOR CORP,MOS,MOSAIC CO,
2011-07-06,removed,MI2,MARSHALL & ILSLEY CORP,ACN,ACCENTURE PLC,
2011-06-30,removed,RSHCQ,RADIOSHACK CORP,MPC,MARATHON PETROLEUM CORP,
2011-06-02,removed,MEE,MASSEY ENERGY CO,ANRZQ,ALPHA NATURAL RESOURCES INC,
2011-04-28,removed,NOVL,NOVELL INC,CMG,CHIPOTLE MEXICAN GRILL INC,
2011-04-01,removed,GENZ,GENZYME CORP,BLK,BLACKROCK INC,
2011-03-31,removed,Q1,QWEST COMMUNICATIONS INTERNATIONAL INC,EW,EDWARDS LIFESCIENCES CORP,
2011-03-01,removed,MFE,MCAFEE INC,COV,COVIDIEN PLC,
2011-02-25,removed,AYE,ALLEGHENY ENERGY INC,JOY,JOY GLOBAL INC,
2011-01-18,removed,QLGC,QLOGIC CORP,NEBLQ,NOBLE CORP,
2011-01-04,removed,MDP,MEREDITH CORP,MMI1,MOTOROLA MOBILITY HOLDINGS INC,
2010-12-20,removed,KG1,KING PHARMACEUTICALS INC,CVC,CABLEVISION SYSTEMS CORP,
2010-12-17,removed,ODP,ODP CORP,NFLX,NETFLIX INC,
2010-12-17,removed,NYT,NEW YORK TIMES CO,NFX,NEWFIELD EXPLORATION CO,
2010-12-17,removed,EKDKQ,EASTMAN KODAK CO,FFIV,F5 INC,
2010-11-17,removed,PTV,PACTIV CORP,TT,TRANE TECHNOLOGIES PLC,
2010-08-27,removed,SII1,SMITH INTERNATIONAL INC,TYC,TYCO INTERNATIONAL PLC,
2010-07-15,removed,MIL1,MILLIPORE CORP,CB,CHUBB LTD,
2010-06-30,removed,STR1,QUESTAR CORP,QEP,QEP RESOURCES INC,
2010-06-25,removed,XTO,XTO ENERGY INC,KMX,CARMAX INC,
2010-04-29,removed,BJS,BJ SERVICES CO,CERN,CERNER CORP,
2010-03-15,removed,BDK,BLACK & DECKER CORP,OKE,ONEOK INC,
2010-03-01,removed,PBG,PEPSI BOTTLING GROUP INC,WBD,WARNER BROS DISCOVERY INC,
2010-02-26,removed,RX,IMS HEALTH INC,HP,HELMERICH & PAYNE INC,
2010-02-12,removed,BNI,BURLINGTON NORTHERN SANTA FE CORP,BRK.B,BERKSHIRE HATHAWAY INC,
2010-02-05,removed,ACS,AFFILIATED COMPUTER SERVICES INC,URBN,URBAN OUTFITTERS INC,
2010-01-29,removed,JAVA1,SUN MICROSYSTEMS INC,NRG,NRG ENERGY INC,
2009-12-23,removed,VALPQ,VALARIS PLC,ROP,ROPER TECHNOLOGIES INC,
2009-12-21,removed,MBI,MBIA INC,MJN,MEAD JOHNSON NUTRITION CO,
2009-12-21,removed,KBH,KB HOME,CLF,CLEVELAND-CLIFFS INC,
2009-12-21,removed,DYNIQ,DYNEGY INC,ROST,ROSS STORES INC,
2009-12-21,removed,CVG,CONVERGYS CORP,LDOS,LEIDOS HOLDINGS INC,
2009-12-18,removed,CIEN,CIENA CORP,V,VISA INC,
2009-11-04,removed,SGP,SCHERING PLOUGH CORP,BKNG,BOOKING HOLDINGS INC,
2009-10-16,removed,WYE,WYETH,FSLR,FIRST SOLAR INC,
2009-09-09,removed,CBE,COOPER INDUSTRIES PLC,ARG,AIRGAS INC,
2009-09-01,removed,MTW,MANITOWOC CO INC,CFN,CAREFUSION CORP,
2009-08-19,removed,CTX1,CENTEX CORP,FMC,FMC CORP,
2009-07-27,removed,CITGQ,CIT GROUP INC,RHT,RED HAT INC,
2009-06-30,removed,TT,TRANE TECHNOLOGIES PLC,PWR,QUANTA SERVICES INC,
2009-06-30,removed,EQ1,EMBARQ CORP,WDC,WESTERN DIGITAL CORP,
2009-06-25,removed,TEL,TE CONNECTIVITY PLC,TMUS,T-MOBILE US INC,
2009-06-05,removed,COV,COVIDIEN PLC,FTI1,FMC TECHNOLOGIES INC,
2009-06-02,removed,MTLQQ,GENERAL MOTORS CORP,ATGE,ADTALEM GLOBAL EDUCATION INC,
2009-04-02,removed,ROH,ROHM & HAAS CO,DNRCQ,DENBURY RESOURCES INC,
2009-03-27,removed,SITC,SITE CENTERS CORP,TWC,TIME WARNER CABLE INC,
2009-03-27,removed,NEBLQ,NOBLE CORP,ORLY,O REILLY AUTOMOTIVE INC,
2009-03-17,removed,TYC,TYCO INTERNATIONAL PLC,ES,EVERSOURCE ENERGY,
2009-03-04,removed,JNY,JONES GROUP INC,VTR,VENTAS INC,
2009-03-04,removed,ACAS,AMERICAN CAPITAL LTD,HRL,HORMEL FOODS CORP,
2009-02-26,removed,WFTIQ,WEATHERFORD INTERNATIONAL PLC,DOFSQ,DIAMOND OFFSHORE DRILLING INC,
2009-01-30,removed,SOV,SOVEREIGN BANCORP INC,WELL,WELLTOWER INC,
2009-01-06,removed,UST1,UST INC,IRM,IRON MOUNTAIN INC,
2009-01-02,removed,NCC,NATIONAL CITY CORP,FLIR,FLIR SYSTEMS INC,
2008-12-31,removed,WB1,WACHOVIA CORP NEW,OI,O-I GLASS INC,
2008-12-31,removed,MER,MERRILL LYNCH & CO INC,SCG,SCANA CORP,
2008-12-23,removed,BRL,BARR PHARMACEUTICALS INC,MFE,MCAFEE INC,
2008-12-19,removed,RIG,TRANSOCEAN LTD,EQT,EQT CORP,
2008-12-05,removed,AW,ALLIED WASTE INDUSTRIES INC,RSG,REPUBLIC SERVICES INC,
2008-12-01,removed,KATE,KATE SPADE & CO,DNB3,DUN & BRADSTREET CORP,
2008-11-24,removed,ABI1,APPLIED BIOSYSTEMS INC,LIFE2,LIFE TECHNOLOGIES CORP,
2008-11-19,removed,BUD1,ANHEUSER-BUSCH COMPANIES INC,SRCL,STERICYCLE INC,
2008-11-17,removed,GGP,GGP INC,CEPH,CEPHALON INC,
2008-11-14,removed,HPC,HERCULES INC,XRAY,DENTSPLY SIRONA INC,
2008-11-14,removed,ASH,ASHLAND INC,WYNN,WYNN RESORTS LTD,
2008-11-13,removed,UIS,UNISYS CORP,PBCT,PEOPLE'S UNITED FINANCIAL INC,
2008-11-06,removed,TEX,TEREX CORP,SJM,J M SMUCKER CO,
2008-10-31,removed,MTG,MGIC INVESTMENT CORP,WEC,WEC ENERGY GROUP INC,
2008-10-22,removed,DDS,DILLARD'S INC,NDAQ,NASDAQ INC,
2008-10-07,removed,WWY,WRIGLEY WM JR CO,KDP,KEURIG DR PEPPER INC,
2008-10-02,removed,WAMUQ,WASHINGTON MUTUAL INC,FLS,FLOWSERVE CORP,
2008-09-30,removed,WEN,WENDY'S CO,APH,AMPHENOL CORP,
2008-09-24,removed,SAF2,SAFECO CORP,PXD,PIONEER NATURAL RESOURCES CO,
2008-09-22,removed,LEHMQ,LEHMAN BROTHERS HOLDINGS INC,LHX,L3HARRIS TECHNOLOGIES INC,
2008-09-15,removed,FMCC,FEDERAL HOME LOAN MORTGAGE CORP,CRM,SALESFORCE INC,
2008-09-12,removed,FNMA,FEDERAL NATIONAL MORTGAGE ASSOCIATION FANNIE MAE,FAST,FASTENAL CO,
2008-08-27,removed,EDS,ELECTRONIC DATA SYSTEMS CORP,CF,CF INDUSTRIES HOLDINGS INC,
2008-08-21,removed,MTCH,MATCH GROUP INC,IVZ,INVESCO LTD,
2008-07-31,removed,CCU1,CLEAR CHANNEL COMMUNICATIONS INC,DVA,DAVITA INC,
2008-07-18,removed,CB,CHUBB LTD,MA,MASTERCARD INC,
2008-06-30,removed,SSP,EW SCRIPPS CO,SNI,SCRIPPS NETWORKS INTERACTIVE INC,
2008-06-30,removed,CFC,COUNTRYWIDE FINANCIAL CORP,AKS,AK STEEL HOLDING CORP,
2008-06-23,removed,OMX,OFFICEMAX INC,MEE,MASSEY ENERGY CO,
2008-06-23,removed,BC,BRUNSWICK CORP,CTRA,COTERRA ENERGY INC,
2008-06-10,removed,ABKFQ,AMBAC FINANCIAL GROUP INC,LO,LORILLARD INC,
2008-06-05,removed,TT2,TRANE INC,SWN,SOUTHWESTERN ENERGY CO,
2008-06-02,removed,BSC1,BEAR STEARNS COMPANIES INC,ISRG,INTUITIVE SURGICAL INC,
2008-03-31,removed,CCTYQ,CIRCUIT CITY STORES INC,PM,PHILIP MORRIS INTERNATIONAL INC,
2008-03-31,removed,CBH1,COMMERCE BANCORP INC,DOC,HEALTHPEAK PROPERTIES INC,
2008-01-21,removed,HET,HARRAHS ENTERTAINMENT INC,CAM,CAMERON INTERNATIONAL CORP,
2007-12-31,removed,TIN,TEMPLE INLAND INC,GHC,GRAHAM HOLDINGS CO,
2007-12-31,removed,SNV,SYNOVUS FINANCIAL CORP,TSS,TOTAL SYSTEM SERVICES INC,
2007-12-21,removed,TRB,TRIBUNE CO,RRC,RANGE RESOURCES CORP,
2007-12-13,removed,DJ,DOW JONES & CO INC,GME,GAMESTOP CORP,
2007-11-19,removed,AT1,ALLTEL CORP,AMT,AMERICAN TOWER CORP,
2007-11-16,removed,TEK1,TEKTRONIX INC,MTW,MANITOWOC CO INC,
2007-11-09,removed,HCR1,MANOR CARE INC,POM,PEPCO HOLDINGS INC,
2007-10-29,removed,BOL,BAUSCH & LOMB INC,TIE,TITANIUM METALS CORP,
2007-10-26,removed,AV1,AVAYA INC,J,JACOBS SOLUTIONS INC,
2007-10-25,removed,HLT1,HILTON HOTELS CORP,NYX1,NYSE EURONEXT,
2007-10-10,removed,TXU,TXU CORP,EXPD,EXPEDITORS INTERNATIONAL OF WASHINGTON INC,
